Parasite,Round,Lake,CV,MixingDepth
Pasteuria,1,Bishop,2.170037722,1
Pasteuria,2,Bishop,2.732520204,2
Pasteuria,3,Bishop,2.226063149,1
Pasteuria,4,Bishop,4,2
Pasteuria,5,Bishop,3.359501417,2
Pasteuria,6,Bishop,1.505214071,3
Pasteuria,7,Bishop,0.809613977,3
Pasteuria,8,Bishop,1.636548849,4
Pasteuria,9,Bishop,0.651934914,4
Pasteuria,10,Bishop,0.896949909,3
Pasteuria,11,Bishop,1.196733461,7
Pasteuria,12,Bishop,0.808224774,10
Metschnikowia,1,Bishop,1.174106264,1
Metschnikowia,2,Bishop,1.124056198,2
Metschnikowia,3,Bishop,0.854155161,1
Metschnikowia,4,Bishop,1.926655133,2
Metschnikowia,5,Bishop,2.1499354,2
Metschnikowia,6,Bishop,2.145336658,3
Metschnikowia,7,Bishop,2.1499354,3
Metschnikowia,8,Bishop,2.226731536,4
Metschnikowia,9,Bishop,1.998749609,4
Metschnikowia,10,Bishop,4.123105626,3
Metschnikowia,11,Bishop,2.822897448,7
Metschnikowia,12,Bishop,4.123105626,10
Ordospora,1,Bishop,1.155827651,1
Ordospora,2,Bishop,1.150072461,2
Ordospora,3,Bishop,1.367205724,1
Ordospora,4,Bishop,1.169703746,2
Ordospora,5,Bishop,1.583209474,2
Ordospora,6,Bishop,2.086164619,3
Ordospora,7,Bishop,2.225199788,3
Ordospora,8,Bishop,1.196557189,4
Ordospora,9,Bishop,1.107057998,4
Ordospora,10,Bishop,1.336737312,3
Ordospora,11,Bishop,0.992517076,7
Ordospora,12,Bishop,1.09330348,10
Blastulidium,1,Bishop,1.8516402,1
Blastulidium,2,Bishop,4,2
Blastulidium,3,Bishop,3.872983346,1
Blastulidium,4,Bishop,4,2
Blastulidium,5,Bishop,4,2
Blastulidium,6,Bishop,1.738046641,3
Blastulidium,7,Bishop,1.75943128,3
Blastulidium,8,Bishop,1.354208277,4
Blastulidium,9,Bishop,2.801389849,4
Blastulidium,10,Bishop,2.313972741,3
Blastulidium,11,Bishop,3.700672812,7
Blastulidium,12,Bishop,0.99037436,10
Spirobacillus,1,Bishop,1.674460871,1
Spirobacillus,2,Bishop,0.717786678,2
Spirobacillus,3,Bishop,0.55070918,1
Spirobacillus,4,Bishop,0.695208223,2
Spirobacillus,5,Bishop,2.180267706,2
Spirobacillus,6,Bishop,0.884610451,3
Spirobacillus,7,Bishop,0.786221151,3
Spirobacillus,8,Bishop,0.509082021,4
Spirobacillus,9,Bishop,0.795657528,4
Spirobacillus,10,Bishop,0.715642059,3
Spirobacillus,11,Bishop,0.889209544,7
Spirobacillus,12,Bishop,1.670338871,10