Lake,Parasite,Round,Date,Location,CV,Mixing Depth
Walsh,Pasteuria,1,6/14/21,Basin,2.236067977,1
Walsh,Pasteuria,2,6/28/21,Basin,0.479773487,1
Walsh,Pasteuria,3,7/12/21,Basin,1.369306394,2
Walsh,Pasteuria,4,7/26/21,Basin,2.449489743,1
Walsh,Pasteuria,5,8/9/21,Basin,2.171722126,2
Walsh,Pasteuria,6,8/23/21,Basin,2.443954409,1
Walsh,Pasteuria,7,9/7/21,Basin,1.260287724,3
Walsh,Pasteuria,8,9/20/21,Basin,2.121307397,3
Walsh,Pasteuria,9,10/4/21,Basin,2.602235921,2
Walsh,Pasteuria,10,10/18/21,Basin,2.156652836,4
Walsh,Pasteuria,11,11/1/21,Basin,0.601366232,5
Walsh,Pasteuria,12,11/12/21,Basin,2.092481127,5
Walsh,Metschnikowia,1,6/14/21,Basin,1.733849092,1
Walsh,Metschnikowia,2,6/28/21,Basin,1.393726188,1
Walsh,Metschnikowia,3,7/12/21,Basin,NA,2
Walsh,Metschnikowia,4,7/26/21,Basin,1.903125081,1
Walsh,Metschnikowia,5,8/9/21,Basin,0.942592124,2
Walsh,Metschnikowia,6,8/23/21,Basin,2.264906963,1
Walsh,Metschnikowia,7,9/7/21,Basin,0.774596669,3
Walsh,Metschnikowia,8,9/20/21,Basin,2.336684925,3
Walsh,Metschnikowia,9,10/4/21,Basin,2.064428571,2
Walsh,Metschnikowia,10,10/18/21,Basin,0.503803905,4
Walsh,Metschnikowia,11,11/1/21,Basin,0.300258832,5
Walsh,Metschnikowia,12,11/12/21,Basin,0.731341857,5
Walsh,Ordospora,1,6/14/21,Basin,2.236067977,1
Walsh,Ordospora,2,6/28/21,Basin,NA,1
Walsh,Ordospora,3,7/12/21,Basin,1.045825033,2
Walsh,Ordospora,4,7/26/21,Basin,1.82573468,1
Walsh,Ordospora,5,8/9/21,Basin,0.96167355,2
Walsh,Ordospora,6,8/23/21,Basin,2.358421057,1
Walsh,Ordospora,7,9/7/21,Basin,0.736285536,3
Walsh,Ordospora,8,9/20/21,Basin,2.62148393,3
Walsh,Ordospora,9,10/4/21,Basin,2.629599577,2
Walsh,Ordospora,10,10/18/21,Basin,1.957558235,4
Walsh,Ordospora,11,11/1/21,Basin,0.968490724,5
Walsh,Ordospora,12,11/12/21,Basin,1.828826192,5
Walsh,Blastulidium,1,6/14/21,Basin,0.707106781,1
Walsh,Blastulidium,2,6/28/21,Basin,1.393726188,1
Walsh,Blastulidium,3,7/12/21,Basin,0.923309567,2
Walsh,Blastulidium,4,7/26/21,Basin,0.884884155,1
Walsh,Blastulidium,5,8/9/21,Basin,0.672331749,2
Walsh,Blastulidium,6,8/23/21,Basin,1.721315805,1
Walsh,Blastulidium,7,9/7/21,Basin,0.661435325,3
Walsh,Blastulidium,8,9/20/21,Basin,2.136821321,3
Walsh,Blastulidium,9,10/4/21,Basin,2.177597735,2
Walsh,Blastulidium,10,10/18/21,Basin,0.535479346,4
Walsh,Blastulidium,11,11/1/21,Basin,1.04868245,5
Walsh,Blastulidium,12,11/12/21,Basin,0.977049196,5
Walsh,Spirobacillus,1,6/14/21,Basin,1.115597639,1
Walsh,Spirobacillus,2,6/28/21,Basin,0.385862266,1
Walsh,Spirobacillus,3,7/12/21,Basin,0.376104289,2
Walsh,Spirobacillus,4,7/26/21,Basin,0.946022656,1
Walsh,Spirobacillus,5,8/9/21,Basin,0.911830976,2
Walsh,Spirobacillus,6,8/23/21,Basin,1.029288322,1
Walsh,Spirobacillus,7,9/7/21,Basin,0.436862688,3
Walsh,Spirobacillus,8,9/20/21,Basin,1.861820865,3
Walsh,Spirobacillus,9,10/4/21,Basin,2.343054482,2
Walsh,Spirobacillus,10,10/18/21,Basin,0.384987652,4
Walsh,Spirobacillus,11,11/1/21,Basin,0.257517809,5
Walsh,Spirobacillus,12,11/12/21,Basin,0.358326112,5